RowID,IceReduction_pct,Temperature,Salinity,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
27,0,0.073,28.019,0,11.192,0.0830837733205559,0.102,0.834016704452723,1.26880173710387,1.208,8.70039410020549,0.000200487060871985,0.163367179117157,0.367056820256285,0.127143596965764,0.238235828367647,0.00412685089340172,0.00296270430612611,0.0883969683309111,0.0901220267848945,0.0583261725272647,0.000224418878770113,0.00345649419903682,0.000304156303527596,0.00275324198347202,0.0348670971674115,0.00036,0.000495138168533296,0.132860316325451,0.000357823631788111,0.0003444736,1.89162266794441,0.102
28,0,-0.062,28.28,0,10.695,0.0870419246788579,0.101,0.814446547287519,1.26715242017232,1.21,8.79779241074531,0.000187448225455981,0.159533777035533,0.364096768441213,0.144090355570424,0.218639692307807,0.00421192216274099,0.00288056012908312,0.100796474408002,0.091979810216391,0.0567090163931162,0.000232655136379716,0.00366185163059098,0.000322871861065714,0.00273697795232413,0.0339597559794724,0.00036,0.000525605355223255,0.13054576086804,0.000194827866670675,0.0003825936,1.39580753211421,0.101
29,0,-0.404,28.753,0,9.735,0.0958021116510729,0.113,0.776557694604418,1.26117144658808,1.18,8.9999754099301,0.000163022748231554,0.152112109160325,0.353362632766462,0.170424597898317,0.182253696505645,0.00438078267050955,0.00273298300192352,0.118220113052225,0.0956673801328038,0.0538036947374955,0.000248407977985004,0.00398683841612692,0.000358834260214601,0.00271608185951886,0.0313395009466594,0.00036,0.000584148795698188,0.126334946592992,0.000295767363662163,5.71536e-05,1.71978883489271,0.113
30,0,-0.428,28.732,0,9.983,0.0956869686950961,0.123,0.780869624189376,1.26952719883115,1.179,9.09489417617458,0.0001726803098137,0.152956729860468,0.368358816410894,0.174484663857686,0.193160444469297,0.00442375156444384,0.00277139775873479,0.121539885884404,0.0966057333493581,0.0545599584418193,0.000245923936100254,0.0039469243950613,0.000360972463733032,0.0026971660851197,0.0312414319106772,0.00036,0.000587629592123541,0.126522322641348,0.000746001679062659,5.95359999999999e-06,2.73130313049039,0.123
31,0,-0.414,28.71,0.0058,10.676,0.0959780643926446,0.115,0.790054494476036,1.29540284920825,1.17,9.40197493068423,0.000201901492072034,0.154755862109592,0.41476768267657,0.188495388433102,0.225522343532069,0.00456961385605828,0.00287535863450194,0.132932634490401,0.0997910690184513,0.0566066156001266,0.000230758916462135,0.00374999353649825,0.00036902605005424,0.00253903580562114,0.0299033352826345,0.00036,0.000600740081483647,0.126718579836574,0.000361834034250375,3.09135999999999e-05,1.90219356073554,0.115
32,0,-0.452,28.81,0.0657,10.31,0.0980494763455429,0.12,0.779738966820191,1.27677242606543,1.169,9.38091423008712,0.000182290270076994,0.15273525671255,0.381016208925553,0.178916071332891,0.201529001829786,0.00457525858688256,0.00282180908073432,0.129323460790175,0.0999143384545613,0.0555523961475305,0.000214467366622703,0.00353073695740165,0.000365922359734162,0.00232584988913257,0.027256163394735,0.00036,0.000595687562357938,0.125826160361158,0.000481825488704881,3.13600000000006e-07,2.19505236544571,0.12
33,0,-0.472,28.784,0.042,11.722,0.0989475020970989,0.119,0.797896713288952,1.33946830033775,1.17,10.0239930265649,0.000252076921504128,0.156291995808888,0.493662068621905,0.215626991062412,0.277429243655376,0.00488448885656756,0.00302833713799204,0.156188362486088,0.106667298366878,0.0596182730811233,0.000201818980031933,0.00337236164300674,0.000389204203715246,0.00219682392195596,0.0262461821802727,0.00036,0.000633588238606214,0.126058273381328,0.000402102672145853,2.43360000000002e-06,2.00524979029011,0.119
34,0,-0.518,28.787,0.0984,12.238,0.100143525742741,0.123,0.802992407522166,1.35024751655596,1.17,10.2722795041552,0.000270563957019053,0.157290140316161,0.512710896896859,0.216175585511069,0.295986380090611,0.00500599552365493,0.00310179913693412,0.160822201605094,0.109320756751648,0.0610645048956294,0.00018309816162862,0.00308633970082161,0.000389124634041676,0.00199218790126215,0.023997359923472,0.00036,0.000633458706579473,0.126031494108278,0.000522418415472747,5.95359999999999e-06,2.28564742572591,0.123
35,0,-0.622,29.032,0.2682,11.582,0.106314163517463,0.128,0.76878794783269,1.30064958511162,1.172,11.5243784,0.0002013912071645,0.150590171283331,0.42280331029179,0.209258385815609,0.213443065225838,0.00566397967543727,0.00333809275834432,0.153785244731281,0.123689791854364,0.0657163705917658,0.000134351474722084,0.00233296757427182,0.000414583193941882,0.00141392438525401,0.0169407870897755,0.00036,0.000674902873858878,0.123841910537773,0.000470275503947324,5.53536e-05,2.16858364825368,0.128
36,0,-0.574,29.024,0.0821,11.67,0.104083227164288,0.118,0.788055172136307,1.34727543614927,1.179,10.4399398618642,0.000256246452908051,0.154364234880732,0.507462634646825,0.232534078655247,0.27474181123751,0.00512958798738148,0.00302817396075497,0.17124811789112,0.112019764691136,0.0596150606431955,0.00017639566778887,0.00307495151998188,0.000410427643607289,0.00185830391245942,0.0223724271064952,0.00036,0.000668138024476983,0.123913487551406,0.000193676566160812,6.55360000000003e-06,1.3916772835712,0.118
