RowID,Regime0,RegimeNew,IceMultiplier,SalinityAnomaly,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443
15,open,open,0.9,-1.5,-0.452,28.81,27.31,0.0657,0.05913,10.31,0.0689157568198431,0.12,0.895175049404906,1.17902552019869,1.169,7.66115932784661,0.000142985204124918,0.175346874776693,0.20562306224108,0.022109584077269,0.181108084807009,0.00354195807112275,0.00288158842647735,0.0197812960052071,0.0773491576027301,0.0567292602801289,0.000198713867996458,0.00272129014581449,0.000225799169650926,0.00269089589358134,0.0392860180686002,0.00036,0.000367580043617786,0.139112759091025
16,open,open,0.9,-1.5,-0.472,28.784,27.284,0.042,0.0378,11.722,0.0702796635725459,0.119,0.911393537266137,1.21625972633908,1.17,8.19889397369983,0.000197798583111837,0.178523751927102,0.272560044371511,0.0209805454798302,0.24904424632151,0.00378695838255114,0.0030945512584553,0.0114936864711946,0.0826994659126717,0.0609218173483982,0.000186687101796351,0.00258239278404531,0.000240308172786125,0.00253487245967447,0.0379080125583512,0.00036,0.00039119935104718,0.139341011897923
17,open,open,0.9,-1.5,-0.518,28.787,27.287,0.0984,0.08856,12.238,0.0713817158436079,0.123,0.912159615606694,1.22501239103741,1.17,8.39936582765646,0.000212992370987056,0.178673811340554,0.288001470674309,0.0185844648218245,0.266876611384603,0.00387998019866632,0.00316895100743586,0.01156932943729,0.0847308731091168,0.0623865104620688,0.000170520887900836,0.00238268480146055,0.000240884656020886,0.00231465408651269,0.0349087053479805,0.00036,0.000392137812127025,0.139314678938446
18,ice,ice,0.9,-1.5,-0.622,29.032,27.532,0.2682,0.24138,11.582,0.0798429514918514,0.128,0.903433019754343,1.21750548873832,1.172,6.2238284,0.000234199992087504,0.176964445880506,0.273724583433481,-0.0100403881543188,0.282492970239136,0.00290083209727872,0.0022715806875767,0.0228323343256463,0.0633482708055733,0.044720158815458,0.000189367631779748,0.00268070116134847,0.000179023287900594,0.00249735269651942,0.0339039646244837,0.00036,0.00029143325937306,0.137160765326663
19,open,open,0.9,-1.5,-0.574,29.024,27.524,0.0821,0.07389,11.67,0.0756732695669704,0.118,0.882556916442729,1.23171905355481,1.179,8.40324934618766,0.000197670704112039,0.172875235088002,0.30011520452769,0.0549224568591065,0.242988382514945,0.00391548911376391,0.00307040440089579,0.0396863865421942,0.0855063155663774,0.0604464429490378,0.000165396668721154,0.00251751843526114,0.00025279546269972,0.00218351353776851,0.0319822208599518,0.00036,0.000411527497418149,0.137231201342069
20,ice,ice,0.9,-1.5,-0.639,29.073,27.573,0.3206,0.28854,10.923,0.0794188121593462,0.13,0.88542088872851,1.19342440030519,1.179,6.3687101,0.000187821381141001,0.173436229934868,0.230257764107895,0.00193765140492408,0.22699136221424,0.00297277967207573,0.0023113471266625,0.0350477312712038,0.064919459450487,0.0455030328208448,0.000160956467684656,0.00238228738934007,0.000177931200968727,0.00211110305466035,0.0294608945452109,0.00036,0.000289655443437463,0.136799672369204
21,ice,ice,0.9,-1.5,-0.696,29.076,27.576,0.3917,0.35253,9.585,0.0768125949100276,0.132,0.855948632575028,1.152090997858,1.176,6.3793112,0.000121218672610594,0.167663204857184,0.155739418904754,0.00603259377747523,0.148245472027047,0.00297805202519891,0.00231423344220557,0.0402940819855922,0.0650345969152658,0.0455598551429323,0.000142136397199583,0.00213163895076205,0.000170643181926329,0.00186350272957937,0.0263185865801852,0.00036,0.000277791226391698,0.136773243835354
22,ice,ice,0.9,-1.5,-0.692,29.291,27.791,0.4925,0.44325,10.108,0.0832254841768837,0.129,0.839213450354422,1.16177224188014,1.166,7.1390567,0.000125832067032472,0.164385117623684,0.172637107844173,0.0219065006642688,0.149425803234167,0.00335870783014396,0.00251276879629252,0.0522456570458868,0.0733473451911808,0.0494683813131928,0.000112188820277622,0.00179814043542018,0.000184780969088106,0.00142611227560796,0.0199423630480946,0.00036,0.000300806228748079,0.134876718432198
23,ice,ice,0.9,-1.5,-0.643,29.719,28.219,0.4289,0.38601,10.268,0.0900949534222419,0.12,0.80641010010218,1.18982295885994,1.153,8.6514803,0.00012860490077919,0.157959597885663,0.223281315651865,0.0742951940302456,0.147833912057423,0.00413294155669445,0.00285915666705718,0.0742677931162555,0.0902550344787955,0.0562876506779404,0.000107399795131274,0.00187974139166179,0.000250029782749208,0.00127593481478877,0.0177366987579913,0.00036,0.000407025227731268,0.131087298483158
24,ice,ice,0.9,-1.5,-0.664,29.884,28.384,0.4599,0.41391,8.633,0.0911323425240798,0.135,0.762693987215269,1.15308862981247,1.145,9.2345408,7.39529036618276e-05,0.149396486372221,0.157206898165507,0.0714647658717369,0.0845861672783307,0.00443727274128912,0.0029753310796075,0.0587010699085402,0.0969010083406988,0.0585747533144244,9.55123340219259e-05,0.0017307616474684,0.000266636704406848,0.0011050632154828,0.015636477636769,0.00036,0.000434059751359985,0.129621673831967
25,ice,ice,0.9,-1.5,-0.674,29.97,28.47,0.4796,0.43164,7.134,0.0925928332492485,0.144,0.729285601446743,1.12611688905486,1.137,9.538439,4.1031088250361e-05,0.142852452286665,0.108707047390139,0.0610204240378129,0.0465993809784117,0.00459718514926998,0.00303205207377223,0.039350567413147,0.100393169964064,0.0596914082856037,8.74430207825241e-05,0.00162478822737839,0.000273461228680606,0.000998034016179422,0.0141910718635077,0.00036,0.000445169442038196,0.128856764668186
26,ice,ice,0.9,-1.5,-0.659,29.912,28.412,0.3382,0.30438,8.166,0.0898222308859252,0.133,0.75334772822719,1.15574193292934,1.145,9.33348439999999,6.76350390156606e-05,0.147565741306769,0.162545170011135,0.0834371745360247,0.0778498203515805,0.00448924009618677,0.00299408656501228,0.0568135155705161,0.0980358696359092,0.0589439888386343,0.000103476449153301,0.00193828021832345,0.000288846905228199,0.00119189252234522,0.0173554285350991,0.00036,0.000470215892231952,0.129372708642681
27,ice,ice,0.9,-1.5,-0.706,29.946,28.446,0.5303,0.47727,7.303,0.0928573354998093,0.128,0.732589771403501,1.1242962389878,1.131,9.45363020000001,4.25748725892326e-05,0.143499673046486,0.105199394354395,0.0558489137214009,0.048290407322715,0.00455246941645385,0.00301648701038321,0.0401351691448259,0.0994166693405486,0.0593849819673414,7.60739047430542e-05,0.00144582071683488,0.00025711923655641,0.000871557705327979,0.0127568132282582,0.00036,0.000418566199045319,0.129070296282992
28,ice,ice,0.9,-1.5,-0.557,30.083,28.583,0.6666,0.59994,6.711,0.0998024240584345,0.159,0.715053331912482,1.10938113930678,1.14,9.9377471,2.98467614661678e-05,0.1400646355513,0.0777855639986759,0.0444803548957234,0.0327074791253302,0.00480864782039944,0.00310259041820956,0.0307258510827158,0.105011084447479,0.0610800826932833,5.60963816871419e-05,0.00109132042618405,0.000239862376033499,0.000629129543250109,0.00911034034232801,0.00036,0.000390473635403371,0.127850680849123
29,ice,ice,0.9,-1.5,-0.553,30.759,29.259,0.7139,0.64251,2.476,0.154756457835531,0.141,0.761773619926877,1.07613273609086,1.149,12.3265283,1.52736644096391e-06,0.149216204842063,0.017890191363542,0.0209171512324846,0.00120967809249427,0.00610558775011213,0.00342992454739773,0.0012193213346585,0.133333613684202,0.0675242448236766,3.62038639927786e-05,0.00079956888633503,0.000296232708116012,0.000370833017254556,0.00553171375123013,0.00036,0.00048223929228188,0.121808705405956
30,ice,ice,0.9,-1.5,-0.531,30.494,28.994,0.749,0.6741,2.213,0.140592308757762,0.156,0.746166502848669,1.07266796711757,1.152,11.3900978,1.02470306340128e-06,0.146159082991139,0.011505694644171,0.0133479582425181,0.000891816499908752,0.00559065649660374,0.00332093307613301,0.000897156827996037,0.122088562816176,0.06537855132877,3.28206606061274e-05,0.000732096142352515,0.000248272747279544,0.000347106357112286,0.00536660752531863,0.00036,0.000404164937431815,0.124181853530351
31,ice,ice,0.9,-1.5,-0.692,30.447,28.947,0.8261,0.74349,1.922,0.138770297010102,0.159,0.734640458525976,1.0701750745414,1.153,11.2240139,6.30742152494963e-07,0.143901361608192,0.00666653244049663,0.00865517497796053,0.000555299727677846,0.00550020628840264,0.00329900033071082,0.000588199155691917,0.120113314304234,0.0649467657162652,2.54802641802366e-05,0.000576767539420314,0.000208457564145628,0.000271153421703688,0.00428015137384501,0.00036,0.000339349523027766,0.124602141073938
32,ice,ice,0.9,-1.5,-0.639,30.121,28.621,0.7247,0.65223,3.424,0.11064279165408,0.162,0.702597826450225,1.07780680123676,1.155,10.0720277,3.79945585811721e-06,0.137624851334768,0.0208435120263902,0.0171078372853447,0.00393589341934625,0.00488010241658345,0.00312529304746873,0.00414548756588988,0.106571507442527,0.0615270248563113,3.37985903041868e-05,0.000763861189960944,0.000212952193605573,0.000376868221448263,0.00628645450861108,0.00036,0.000346666361683491,0.127512092683398
